1827.8,1951.6
1536,1954.5
1240.6,1957.5
943.3,1957.5
646.01,1957.5
348.72,1957.5
55.095,1954.5
1835.2,1658.6
1537.9,1661.5
1242.4,1664.5
943.3,1664.5
644.17,1664.5
346.88,1664.5
51.425,1661.5
1837,1362.6
1541.5,1365.6
1242.4,1365.6
943.3,1368.5
642.34,1365.6
343.21,1365.6
47.754,1365.6
1838.8,1066.7
1543.4,1066.7
1242.4,1066.7
943.3,1066.7
642.34,1066.7
343.21,1066.7
45.919,1066.7
1838.8,767.76
1543.4,767.76
1244.3,767.76
943.3,767.76
642.34,764.8
343.21,767.76
44.084,767.76
1838.8,471.81
1543.4,468.85
1242.4,465.89
943.3,462.93
642.34,465.89
343.21,465.89
45.919,468.85
